IDQA|Image and Data Quality Assessment Ontology|0
GALEN|Galen Ontology|0
NHSQI2009|NHS Quality Indicators Ontology|0
OGG|Ontology of Genes and Genomes|0
BRIDG|Biomedical Research Integrated Domain Group Model|0
ICD11-BODYSYSTEM|Body System Terms from ICD11|0
VIVO|VIVO Ontology for Researcher Discovery|0
AERO|Adverse Event Reporting Ontology|0
SBO|Systems Biology Ontology|0
EHDAA|Human Developmental Anatomy Ontology|0
CCO|Cell Cycle Ontology|6
GAZ|Gazetteer Ontology|0
VT|Vertebrate Trait Ontology|0
ZEA|Maize Gross Anatomy Ontology|0
OGI|Ontology for Genetic Interval|0
CO|Crop Ontology|2
ICECI|International Classification of External Causes of Injuries|0
ONTOPNEUMO|Ontology of Pneumology|0
PROVO|Provenance Ontology|3
RCD|Read Codes Clinical Terms |0
UO|Units of Measurement Ontology|0
PDON|Parkinson's Disease Ontology|0
BCGO|Breast Cancer Grading Ontology|0
NEOMARK3|Neomark Oral Cancer Ontology|0
IDOBRU|Brucellosis Ontology|2
MCBCC|Breast Tissue Cell Lines Ontology|0
ROLEO|Role Ontology|0
ONL-MR-DA|Magnetic Resonance Dataset Acquisition Ontology|0
DERMLEX|Dermatology Lexicon|0
InterNano|InterNano Nanomanufacturing Taxonomy|0
STY|Semantic Types Ontology|0
BT|BioTop Ontology|0
ONTOMA|Ontology of Alternative Medicine, French|0
EMAP|Mouse Gross Anatomy and Development Ontology|0
CSEO|Cigarette Smoke Exposure Ontology|0
MS|Mass Spectrometry Ontology|0
DIKB|Drug Interaction Knowledge Base Ontology|0
FYPO|Fission Yeast Phenotype Ontology|0
CMPO|Cellular microscopy phenotype ontology|0
SHR|Student Health Record Ontology|0
ONSTR|Ontology for Newborn Screening Follow-up and Translational Research|0
MF|Mental Functioning Ontology|0
GFVO|Genomic Feature and Variation Ontology|0
XCO|Experimental Conditions Ontology|0
VTO|Vertebrate Taxonomy Ontology|0
WB-BT|C. elegans Gross Anatomy Vocabulary|0
PMA|Portfolio Management Application Ontology|0
SBOL|Synthetic Biology Open Language Visual Ontology|0
SAO|Subcellular Anatomy Ontology|0
NEMO|Neural ElectroMagnetic Ontology|0
PTRANS|Pathogen Transmission Ontology|0
CARO|Common Anatomy Reference Ontology|6
UNITSONT|Units Ontology|0
NEOMARK4|Neomark Oral Cancer Ontology|0
NIGO|Neural-Immune Gene Ontology|0
OBOE-SBC|Santa Barbara Coastal Observation Ontology|0
ORTHO|Ortholog Ontology|0
REPO|Reproductive Trait and Phenotype Ontology|0
FLOPO|Flora Phenotype Ontology|0
BSAO|Botryllus schlosseri anatomy and development ontology|0
VSO|Vital Sign Ontology|0
HC|Habronattus Courtship Ontology|0
OMIM|Online Mendelian Inheritance in Man Ontology|0
VANDF|Veterans Health Administration National Drug File|0
INO|Interaction Network Ontology|0
MAMO|Mathematical Modelling Ontology|0
CSSO|Clinical Signs and Symptoms Ontology|0
EP|Cardiac Electrophysiology Ontology|0
SSO|Syndromic Surveillance Ontology|0
ATO|Amphibian Taxonomy Ontology|0
UBERON|Uber Anatomy Ontology|0
MFOEM|Emotion Ontology|0
ACGT-MO|Cancer Research and Management ACGT Master Ontology|0
TOK|Terminological and Ontological Knowledge Resources Ontology|0
MIXS|Minimal Information about any Sequence Ontology|0
MFO|Medaka Fish Anatomy and Development Ontology|0
ELIG|Eligibility Feature Hierarchy|0
STATO|Statistics Ontology|0
CHMO|Chemical Methods Ontology|0
ECO|Evidence Codes Ontology|0
PDO|Pathogenic Disease Ontology|0
DOCCC|Diagnosis Ontology of Clinical Care Classification|0
CPT|Current Procedural Terminology|1556
ONL-DP|Dataset processing Ontology|0
SYN|Sage Bionetworks Synapse Ontology|0
SEP|Sample Processing and Separation Techniques Ontology|0
EHDAA2|Human Developmental Anatomy Ontology|0
AEO|Anatomical Entity Ontology|0
PIERO|Enzyme Reaction Ontology for partial chemical perspectives|0
ORDO|Orphanet Rare Disease Ontology|0
RETO|Regulation of Transcription Ontology|0
IAO|Information Artifact Ontology|6
ADW|Animal Natural History and Life History Ontology|0
OPE|Ontology of Physical Exercises|0
KISAO|Kinetic Simulation Algorithm Ontology|2
DINTO|The Drug-drug Interactions Ontology|0
NPO|NanoParticle Ontology|3
PVONTO|Pharmacovigilance Ontology|0
HP|Human Phenotype Ontology|25
CTX|Cerebrotendinous Xanthomatosis Ontology|0
RXNO|Name Reaction Ontology|0
BSPO|Spatial Ontology|0
ABA-AMB|Allen Brain Atlas (ABA) Adult Mouse Brain Ontology|0
MIRO|Mosquito Insecticide Resistance Ontology|0
BNO|Bionutrition Ontology|0
GRO-CPD|Cereal Plant Development Ontology|0
TM-MER|Traditional Medicine Meridian Value Sets|0
CO-WHEAT|Wheat Trait Ontology |0
NIC|Nursing Interventions Classification|163
DIAGONT|Diagnostic Ontology|1
SWEET|Semantic Web for Earth and Environment Technology Ontology|0
SNPO|Single-Nucleotide Polymorphism (SNP) Ontology|0
CTONT|Epoch Clinical Trial Ontology|0
ATMO|African Traditional Medicine Ontology|0
PORO|Porifera Ontology|0
FMA|Foundational Model of Anatomy|0
SYMP|Symptom Ontology|0
CBO|Cell Behavior Ontology|0
NMOSP|NeuroMorpho.Org species ontology|0
TEDDY|Terminology for the Description of Dynamics|0
CPTH|Current Procedural Terminalogy Hierarchy|0
CARELEX|Content Archive Resource Exchange Lexicon|0
HPIO|Host Pathogen Interactions Ontology|0
BAO|BioAssay Ontology|8
MA|Mouse Adult Gross Anatomy Ontology|0
RNPRIO|Research Network and Patient Registry Inventory Ontology|0
CPRO|Computer-Based Patient Record Ontology|0
ICPS|International Classification for Patient Safety|19
suicideo|suicideonto Ontology|0
NIFCELL|Neuroscience Information Framework (NIF) Cell Ontology|0
CHEMBIO|Systems Chemical Biology and Chemogenomics Ontology |0
TAO|Teleost Anatomy Ontology|0
VSAO|Vertebrate Skeletal Anatomy Ontology|0
OBI_BCGO|Beta Cell Genomics Ontology|0
WB-LS|C. elegans Development Vocabulary|0
DCO|Dispedia Core Ontology|0
PROPREO|Proteomics Data and Process Provenance Ontology|0
PCO|Population and Community Ontology|0
SOPHARM|Suggested Ontology for Pharmacogenomics|0
MEDLINEPLUS|MedlinePlus Health Topics|0
HOM|Ontology of Homology and Related Concepts in Biology|0
NDFRT|National Drug File Reference Terminology|25
OOEVV|Ontology of Experimental Variables and Values|0
NCCO|Nursing Care Coordination Ontology|0
PHYLONT|Phylogenetic Ontology|0
GO-EXT|Gene Ontology Extension|0
QIBO|Quantitative Imaging Biomarker Ontology|0
SO|Sequence Types and Features Ontology|0
OBI|Ontology for Biomedical Investigations|12
GCO|Genome Component Ontology|0
PDQ|Physician Data Query Ontology|0
FB-BT|Drosophila Gross Anatomy Ontology|0
IFAR|Fanconi Anemia Ontology|0
GO|Gene Ontology|6496
BFO|Basic Formal Ontology|29
MHC|Major Histocompatibility Complex Ontology|0
DRON|The Drug Ontology|0
ONL-MSA|Mental State Assessment Ontology|0
BOF|Biodiversity Ontology|0
SDO|Sleep Domain Ontology|0
NATPRO|Natural Products Ontology|0
ICPC|International Classification of Primary Care|215
NBO|Neuro Behavior Ontology|0
PEDTERM|Pediatric Terminology|0
DDANAT|Dictyostelium Discoideum Anatomy Ontology|0
JERM|SysMO JERM Ontology of Systems Biology for Micro-Organisms|0
PECO|Plant Environmental Conditions Ontology|0
DERMO|Human Dermatological Disease Ontology|0
PHENX|PhenX Phenotypic Terms Ontology|0
SNMI|Systematized Nomenclature of Medicine|459
ECG|Electrocardiography Ontology|0
PO|Plant Ontology|21
