ICO|Informed Consent Ontology
UNITSONT|Units Ontology
NEOMARK4|Neomark Oral Cancer Ontology
NIGO|Neural-Immune Gene Ontology
OBOE-SBC|Santa Barbara Coastal Observation Ontology
REPO|Reproductive Trait and Phenotype Ontology
FLOPO|Flora Phenotype Ontology
BSAO|Botryllus schlosseri anatomy and development ontology
VSO|Vital Sign Ontology
HC|Habronattus Courtship Ontology
OMIM|Online Mendelian Inheritance in Man Ontology
VANDF|Veterans Health Administration National Drug File
INO|Interaction Network Ontology
MAMO|Mathematical Modelling Ontology
CSSO|Clinical Signs and Symptoms Ontology
EP|Cardiac Electrophysiology Ontology
SSO|Syndromic Surveillance Ontology
ATO|Amphibian Taxonomy Ontology
UBERON|Uber Anatomy Ontology
MFOEM|Emotion Ontology
ACGT-MO|Cancer Research and Management ACGT Master Ontology
TOK|Terminological and Ontological Knowledge Resources Ontology
MIXS|Minimal Information about any Sequence Ontology
MFO|Medaka Fish Anatomy and Development Ontology
ELIG|Eligibility Feature Hierarchy
STATO|Statistics Ontology
CHMO|Chemical Methods Ontology
ECO|Evidence Codes Ontology
PDO|Pathogenic Disease Ontology
DOCCC|Diagnosis Ontology of Clinical Care Classification
CPT|Current Procedural Terminology
ONL-DP|Dataset processing Ontology
SYN|Sage Bionetworks Synapse Ontology
SEP|Sample Processing and Separation Techniques Ontology
EHDAA2|Human Developmental Anatomy Ontology
AEO|Anatomical Entity Ontology
PIERO|Enzyme Reaction Ontology for partial chemical perspectives
ORDO|Orphanet Rare Disease Ontology
RETO|Regulation of Transcription Ontology
IAO|Information Artifact Ontology
ADW|Animal Natural History and Life History Ontology
OPE|Ontology of Physical Exercises
KISAO|Kinetic Simulation Algorithm Ontology
NPO|NanoParticle Ontology
PVONTO|Pharmacovigilance Ontology
HP|Human Phenotype Ontology
CTX|Cerebrotendinous Xanthomatosis Ontology
RXNO|Name Reaction Ontology
BSPO|Spatial Ontology
ABA-AMB|Allen Brain Atlas (ABA) Adult Mouse Brain Ontology
MIRO|Mosquito Insecticide Resistance Ontology
BNO|Bionutrition Ontology
GRO-CPD|Cereal Plant Development Ontology
ERNO|Enzyme Reaction Ontology
TM-MER|Traditional Medicine Meridian Value Sets
CO-WHEAT|Wheat Trait Ontology 
NIC|Nursing Interventions Classification
DIAGONT|Diagnostic Ontology
SWEET|Semantic Web for Earth and Environment Technology Ontology
SNPO|Single-Nucleotide Polymorphism (SNP) Ontology
CTONT|Epoch Clinical Trial Ontology
ATMO|African Traditional Medicine Ontology
PORO|Porifera Ontology
FMA|Foundational Model of Anatomy
SYMP|Symptom Ontology
CBO|Cell Behavior Ontology
NMOSP|NeuroMorpho.Org species ontology
TEDDY|Terminology for the Description of Dynamics
CPTH|Current Procedural Terminalogy Hierarchy
CARELEX|Content Archive Resource Exchange Lexicon
HPIO|Host Pathogen Interactions Ontology
BAO|BioAssay Ontology
MA|Mouse Adult Gross Anatomy Ontology
RNPRIO|Research Network and Patient Registry Inventory Ontology
CPRO|Computer-Based Patient Record Ontology
ICPS|International Classification for Patient Safety
suicideo|suicideonto Ontology
NIFCELL|Neuroscience Information Framework (NIF) Cell Ontology
CHEMBIO|Systems Chemical Biology and Chemogenomics Ontology 
TAO|Teleost Anatomy Ontology
VSAO|Vertebrate Skeletal Anatomy Ontology
OBI_BCGO|Beta Cell Genomics Ontology
WB-LS|C. elegans Development Vocabulary
DCO|Dispedia Core Ontology
PROPREO|Proteomics Data and Process Provenance Ontology
PCO|Population and Community Ontology
SOPHARM|Suggested Ontology for Pharmacogenomics
MEDLINEPLUS|MedlinePlus Health Topics
HOM|Ontology of Homology and Related Concepts in Biology
NDFRT|National Drug File Reference Terminology
OOEVV|Ontology of Experimental Variables and Values
NCCO|Nursing Care Coordination Ontology
PHYLONT|Phylogenetic Ontology
GO-EXT|Gene Ontology Extension
QIBO|Quantitative Imaging Biomarker Ontology
SO|Sequence Types and Features Ontology
OBI|Ontology for Biomedical Investigations
GCO|Genome Component Ontology
PDQ|Physician Data Query Ontology
FB-BT|Drosophila Gross Anatomy Ontology
IFAR|Fanconi Anemia Ontology
GO|Gene Ontology
BFO|Basic Formal Ontology
MHC|Major Histocompatibility Complex Ontology
ONL-MSA|Mental State Assessment Ontology
BOF|Biodiversity Ontology
SDO|Sleep Domain Ontology
NATPRO|Natural Products Ontology
ICPC|International Classification of Primary Care
NBO|Neuro Behavior Ontology
PEDTERM|Pediatric Terminology
DDANAT|Dictyostelium Discoideum Anatomy Ontology
JERM|SysMO JERM Ontology of Systems Biology for Micro-Organisms
PECO|Plant Environmental Conditions Ontology
DERMO|Human Dermatological Disease Ontology
PHENX|PhenX Phenotypic Terms Ontology
SNMI|Systematized Nomenclature of Medicine
ECG|Electrocardiography Ontology
PO|Plant Ontology
